Linea;PK;Longitud;Latitud
40;35950;-3.750.330;40.193.710
40;35960;-3.750.332;40.193.620
40;35970;-3.750.335;40.193.530
40;35980;-3.750.337;40.193.440
40;35990;-3.750.339;40.193.350
40;36000;-3.750.340;40.193.260
40;36010;-3.750.340;40.193.169
40;36020;-3.750.340;40.193.079
40;36030;-3.750.339;40.192.989
40;36040;-3.750.338;40.192.899
40;36050;-3.750.337;40.192.809
40;36060;-3.750.335;40.192.719
40;36070;-3.750.333;40.192.629
40;36080;-3.750.331;40.192.539
40;36090;-3.750.328;40.192.449
40;36100;-3.750.324;40.192.358
40;36110;-3.750.320;40.192.268
40;36120;-3.750.315;40.192.178
40;36130;-3.750.310;40.192.088
40;36140;-3.750.305;40.191.998
40;36150;-3.750.299;40.191.908
40;36160;-3.750.293;40.191.818
40;36170;-3.750.286;40.191.728
40;36180;-3.750.278;40.191.638
40;36190;-3.750.271;40.191.548
40;36200;-3.750.263;40.191.458
40;36210;-3.750.254;40.191.368
40;36220;-3.750.245;40.191.279
40;36230;-3.750.236;40.191.189
40;36240;-3.750.226;40.191.099
40;36250;-3.750.215;40.191.009
40;36260;-3.750.205;40.190.919
40;36270;-3.750.194;40.190.830
40;36280;-3.750.181;40.190.740
40;36290;-3.750.169;40.190.650
40;36300;-3.750.156;40.190.561
40;36310;-3.750.144;40.190.471
40;36320;-3.750.131;40.190.382
40;36330;-3.750.118;40.190.292
40;36340;-3.750.103;40.190.203
40;36350;-3.750.087;40.190.113
40;36360;-3.750.072;40.190.024
40;36370;-3.750.057;40.189.935
40;36380;-3.750.041;40.189.845
40;36390;-3.750.024;40.189.756
40;36400;-3.750.007;40.189.667
40;36410;-3.749.990;40.189.578
40;36420;-3.749.973;40.189.488
40;36430;-3.749.955;40.189.399
40;36440;-3.749.935;40.189.311
40;36450;-3.749.915;40.189.222
40;36460;-3.749.895;40.189.133
40;36470;-3.749.876;40.189.044
40;36480;-3.749.856;40.188.955
40;36490;-3.749.834;40.188.867
40;36500;-3.749.812;40.188.778
40;36510;-3.749.789;40.188.690
40;36520;-3.749.767;40.188.601
40;36530;-3.749.745;40.188.513
40;36540;-3.749.721;40.188.424
40;36550;-3.749.696;40.188.336
40;36560;-3.749.672;40.188.248
40;36570;-3.749.648;40.188.160
40;36580;-3.749.623;40.188.072
40;36590;-3.749.597;40.187.984
40;36600;-3.749.572;40.187.896
40;36610;-3.749.546;40.187.808
40;36620;-3.749.519;40.187.720
40;36630;-3.749.493;40.187.632
40;36640;-3.749.466;40.187.545
40;36650;-3.749.437;40.187.457
40;36660;-3.749.409;40.187.370
40;36670;-3.749.380;40.187.283
40;36680;-3.749.350;40.187.195
40;36690;-3.749.320;40.187.108
40;36700;-3.749.290;40.187.021
40;36710;-3.749.259;40.186.934
40;36720;-3.749.228;40.186.847
40;36730;-3.749.196;40.186.760
40;36740;-3.749.164;40.186.674
40;36750;-3.749.131;40.186.587
40;36760;-3.749.098;40.186.501
40;36770;-3.749.065;40.186.414
40;36780;-3.749.031;40.186.328
40;36790;-3.748.997;40.186.242
40;36800;-3.748.962;40.186.156
40;36810;-3.748.927;40.186.070
40;36820;-3.748.891;40.185.984
40;36830;-3.748.856;40.185.898
40;36840;-3.748.819;40.185.812
40;36850;-3.748.783;40.185.726
40;36860;-3.748.746;40.185.641
40;36870;-3.748.707;40.185.556
40;36880;-3.748.669;40.185.471
40;36890;-3.748.630;40.185.385
40;36900;-3.748.592;40.185.300
40;36910;-3.748.553;40.185.215
40;36920;-3.748.513;40.185.130
40;36930;-3.748.472;40.185.046
40;36940;-3.748.431;40.184.961
40;36950;-3.748.390;40.184.877
40;36960;-3.748.349;40.184.793
40;36970;-3.748.307;40.184.708
40;36980;-3.748.265;40.184.624
40;36990;-3.748.222;40.184.540
40;37000;-3.748.178;40.184.457
40;37010;-3.748.135;40.184.373
40;37020;-3.748.091;40.184.289
40;37030;-3.748.046;40.184.206
40;37040;-3.748.002;40.184.122
40;37050;-3.747.956;40.184.039
40;37060;-3.747.910;40.183.956
40;37070;-3.747.864;40.183.873
40;37080;-3.747.818;40.183.791
40;37090;-3.747.771;40.183.708
40;37100;-3.747.723;40.183.626
40;37110;-3.747.675;40.183.543
40;37120;-3.747.627;40.183.461
40;37130;-3.747.578;40.183.379
40;37140;-3.747.529;40.183.297
40;37150;-3.747.480;40.183.215
40;37160;-3.747.430;40.183.134
40;37170;-3.747.380;40.183.052
40;37180;-3.747.329;40.182.971
40;37190;-3.747.278;40.182.890
40;37200;-3.747.226;40.182.809
40;37210;-3.747.174;40.182.728
40;37220;-3.747.122;40.182.647
40;37230;-3.747.070;40.182.567
40;37240;-3.747.017;40.182.486
40;37250;-3.746.963;40.182.406
40;37260;-3.746.909;40.182.326
40;37270;-3.746.854;40.182.246
40;37280;-3.746.800;40.182.166
40;37290;-3.746.745;40.182.087
40;37300;-3.746.689;40.182.007
40;37310;-3.746.633;40.181.928
40;37320;-3.746.577;40.181.849
40;37330;-3.746.520;40.181.770
40;37340;-3.746.463;40.181.691
40;37350;-3.746.406;40.181.612
40;37360;-3.746.348;40.181.534
40;37370;-3.746.289;40.181.456
40;37380;-3.746.230;40.181.378
40;37390;-3.746.171;40.181.300
40;37400;-3.746.112;40.181.222
40;37410;-3.746.052;40.181.145
40;37420;-3.745.992;40.181.067
40;37430;-3.745.931;40.180.990
40;37440;-3.745.870;40.180.913
40;37450;-3.745.809;40.180.836
40;37460;-3.745.747;40.180.760
40;37470;-3.745.685;40.180.683
40;37480;-3.745.622;40.180.607
40;37490;-3.745.559;40.180.531
40;37500;-3.745.496;40.180.455
40;37510;-3.745.432;40.180.379
40;37520;-3.745.368;40.180.304
40;37530;-3.745.303;40.180.228
40;37540;-3.745.239;40.180.153
40;37550;-3.745.174;40.180.078
40;37560;-3.745.108;40.180.003
40;37570;-3.745.042;40.179.929
40;37580;-3.744.975;40.179.854
40;37590;-3.744.909;40.179.780
40;37600;-3.744.842;40.179.706
40;37610;-3.744.774;40.179.632
40;37620;-3.744.706;40.179.559
40;37630;-3.744.638;40.179.486
40;37640;-3.744.569;40.179.412
40;37650;-3.744.501;40.179.339
40;37660;-3.744.431;40.179.266
40;37670;-3.744.362;40.179.194
40;37680;-3.744.292;40.179.122
40;37690;-3.744.221;40.179.049
40;37700;-3.744.150;40.178.977
40;37710;-3.744.079;40.178.906
40;37720;-3.744.008;40.178.834
40;37730;-3.743.936;40.178.763
40;37740;-3.743.864;40.178.691
40;37750;-3.743.792;40.178.620
40;37760;-3.743.719;40.178.550
40;37770;-3.743.645;40.178.479
40;37780;-3.743.572;40.178.409
40;37790;-3.743.498;40.178.339
40;37800;-3.743.424;40.178.269
40;37810;-3.743.350;40.178.199
40;37820;-3.743.274;40.178.130
40;37830;-3.743.199;40.178.061
40;37840;-3.743.123;40.177.992
40;37850;-3.743.047;40.177.923
40;37860;-3.742.971;40.177.855
40;37870;-3.742.894;40.177.786
40;37880;-3.742.817;40.177.718
40;37890;-3.742.740;40.177.651
40;37900;-3.742.662;40.177.583
40;37910;-3.742.584;40.177.516
40;37920;-3.742.505;40.177.449
40;37930;-3.742.427;40.177.382
40;37940;-3.742.348;40.177.315
40;37950;-3.742.269;40.177.248
40;37960;-3.742.190;40.177.182
40;37970;-3.742.110;40.177.115
40;37980;-3.742.030;40.177.049
40;37990;-3.741.950;40.176.983
40;38000;-3.741.870;40.176.917
40;38010;-3.741.789;40.176.852
40;38020;-3.741.709;40.176.786
40;38030;-3.741.628;40.176.721
40;38040;-3.741.547;40.176.655
40;38050;-3.741.466;40.176.590
40;38060;-3.741.386;40.176.524
40;38070;-3.741.305;40.176.459
40;38080;-3.741.223;40.176.394
40;38090;-3.741.142;40.176.329
40;38100;-3.741.061;40.176.263
40;38110;-3.740.980;40.176.198
40;38120;-3.740.899;40.176.133
40;38130;-3.740.818;40.176.068
40;38140;-3.740.737;40.176.003
40;38150;-3.740.655;40.175.938
40;38160;-3.740.574;40.175.872
40;38170;-3.740.494;40.175.807
40;38180;-3.740.413;40.175.742
40;38190;-3.740.331;40.175.677
40;38200;-3.740.250;40.175.611
40;38210;-3.740.169;40.175.546
40;38220;-3.740.088;40.175.481
40;38230;-3.740.007;40.175.416
40;38240;-3.739.925;40.175.351
40;38250;-3.739.844;40.175.286
40;38260;-3.739.764;40.175.220
40;38270;-3.739.682;40.175.155
40;38280;-3.739.601;40.175.090
40;38290;-3.739.520;40.175.025
40;38300;-3.739.438;40.174.960
40;38310;-3.739.357;40.174.894
40;38320;-3.739.276;40.174.829
40;38330;-3.739.195;40.174.764
40;38340;-3.739.114;40.174.699
40;38350;-3.739.033;40.174.634
40;38360;-3.738.952;40.174.569
40;38370;-3.738.871;40.174.503
40;38380;-3.738.789;40.174.438
40;38390;-3.738.708;40.174.373
40;38400;-3.738.627;40.174.308
40;38410;-3.738.546;40.174.243
40;38420;-3.738.465;40.174.177
40;38430;-3.738.384;40.174.112
40;38440;-3.738.303;40.174.047
40;38450;-3.738.221;40.173.982
40;38460;-3.738.140;40.173.917
40;38470;-3.738.059;40.173.851
40;38480;-3.737.978;40.173.786
40;38490;-3.737.897;40.173.721
40;38500;-3.737.816;40.173.656
40;38510;-3.737.735;40.173.591
40;38520;-3.737.653;40.173.526
40;38530;-3.737.572;40.173.460
40;38540;-3.737.491;40.173.395
40;38550;-3.737.410;40.173.330
