Linea;PK;Longitud;Latitud
40;248770;-1.957.747;39.604.200
40;248780;-1.957.750;39.604.109
40;248790;-1.957.753;39.604.019
40;248800;-1.957.757;39.603.929
40;248810;-1.957.760;39.603.839
40;248820;-1.957.764;39.603.749
40;248830;-1.957.767;39.603.659
40;248840;-1.957.771;39.603.569
40;248850;-1.957.774;39.603.479
40;248860;-1.957.777;39.603.389
40;248870;-1.957.781;39.603.299
40;248880;-1.957.784;39.603.209
40;248890;-1.957.788;39.603.119
40;248900;-1.957.791;39.603.029
40;248910;-1.957.794;39.602.939
40;248920;-1.957.798;39.602.849
40;248930;-1.957.801;39.602.759
40;248940;-1.957.805;39.602.669
40;248950;-1.957.808;39.602.579
40;248960;-1.957.812;39.602.488
40;248970;-1.957.815;39.602.398
40;248980;-1.957.818;39.602.308
40;248990;-1.957.822;39.602.218
40;249000;-1.957.825;39.602.128
40;249010;-1.957.829;39.602.038
40;249020;-1.957.832;39.601.948
40;249030;-1.957.835;39.601.858
40;249040;-1.957.839;39.601.768
40;249050;-1.957.842;39.601.678
40;249060;-1.957.846;39.601.588
40;249070;-1.957.849;39.601.498
40;249080;-1.957.853;39.601.408
40;249090;-1.957.856;39.601.318
40;249100;-1.957.859;39.601.228
40;249110;-1.957.863;39.601.138
40;249120;-1.957.866;39.601.048
40;249130;-1.957.870;39.600.957
40;249140;-1.957.873;39.600.867
40;249150;-1.957.877;39.600.777
40;249160;-1.957.880;39.600.687
40;249170;-1.957.883;39.600.597
40;249180;-1.957.887;39.600.507
40;249190;-1.957.890;39.600.417
40;249200;-1.957.894;39.600.327
40;249210;-1.957.897;39.600.237
40;249220;-1.957.900;39.600.147
40;249230;-1.957.904;39.600.057
40;249240;-1.957.907;39.599.967
40;249250;-1.957.911;39.599.877
40;249260;-1.957.914;39.599.787
40;249270;-1.957.918;39.599.697
40;249280;-1.957.921;39.599.607
40;249290;-1.957.924;39.599.517
40;249300;-1.957.928;39.599.427
40;249310;-1.957.931;39.599.336
40;249320;-1.957.935;39.599.246
40;249330;-1.957.938;39.599.156
40;249340;-1.957.942;39.599.066
40;249350;-1.957.945;39.598.976
40;249360;-1.957.948;39.598.886
40;249370;-1.957.952;39.598.796
40;249380;-1.957.955;39.598.706
40;249390;-1.957.958;39.598.616
40;249400;-1.957.962;39.598.526
40;249410;-1.957.965;39.598.436
40;249420;-1.957.969;39.598.346
40;249430;-1.957.972;39.598.256
40;249440;-1.957.975;39.598.166
40;249450;-1.957.978;39.598.076
40;249460;-1.957.981;39.597.986
40;249470;-1.957.985;39.597.896
40;249480;-1.957.988;39.597.805
40;249490;-1.957.991;39.597.715
40;249500;-1.957.994;39.597.625
40;249510;-1.957.997;39.597.535
40;249520;-1.958.000;39.597.445
40;249530;-1.958.003;39.597.355
40;249540;-1.958.005;39.597.265
40;249550;-1.958.008;39.597.175
40;249560;-1.958.011;39.597.085
40;249570;-1.958.013;39.596.995
40;249580;-1.958.016;39.596.905
40;249590;-1.958.019;39.596.815
40;249600;-1.958.021;39.596.725
40;249610;-1.958.023;39.596.635
40;249620;-1.958.025;39.596.544
40;249630;-1.958.027;39.596.454
40;249640;-1.958.029;39.596.364
40;249650;-1.958.031;39.596.274
40;249660;-1.958.033;39.596.184
40;249670;-1.958.035;39.596.094
40;249680;-1.958.036;39.596.004
40;249690;-1.958.037;39.595.914
40;249700;-1.958.038;39.595.824
40;249710;-1.958.039;39.595.734
40;249720;-1.958.040;39.595.644
40;249730;-1.958.041;39.595.554
40;249740;-1.958.042;39.595.463
40;249750;-1.958.043;39.595.373
40;249760;-1.958.043;39.595.283
40;249770;-1.958.043;39.595.193
40;249780;-1.958.043;39.595.103
40;249790;-1.958.043;39.595.013
40;249800;-1.958.043;39.594.923
40;249810;-1.958.042;39.594.833
40;249820;-1.958.042;39.594.743
40;249830;-1.958.042;39.594.653
40;249840;-1.958.041;39.594.562
40;249850;-1.958.040;39.594.472
40;249860;-1.958.038;39.594.382
40;249870;-1.958.037;39.594.292
40;249880;-1.958.036;39.594.202
40;249890;-1.958.035;39.594.112
40;249900;-1.958.033;39.594.022
40;249910;-1.958.032;39.593.932
40;249920;-1.958.030;39.593.842
40;249930;-1.958.027;39.593.752
40;249940;-1.958.025;39.593.662
40;249950;-1.958.022;39.593.572
40;249960;-1.958.020;39.593.481
40;249970;-1.958.017;39.593.391
40;249980;-1.958.015;39.593.301
40;249990;-1.958.013;39.593.211
40;250000;-1.958.009;39.593.121
40;250010;-1.958.005;39.593.031
40;250020;-1.958.002;39.592.941
40;250030;-1.957.998;39.592.851
40;250040;-1.957.994;39.592.761
40;250050;-1.957.991;39.592.671
40;250060;-1.957.987;39.592.581
40;250070;-1.957.984;39.592.491
40;250080;-1.957.979;39.592.401
40;250090;-1.957.974;39.592.311
40;250100;-1.957.969;39.592.221
40;250110;-1.957.964;39.592.131
40;250120;-1.957.960;39.592.041
40;250130;-1.957.955;39.591.951
40;250140;-1.957.950;39.591.861
40;250150;-1.957.945;39.591.771
40;250160;-1.957.939;39.591.681
40;250170;-1.957.933;39.591.591
40;250180;-1.957.927;39.591.501
40;250190;-1.957.921;39.591.411
40;250200;-1.957.915;39.591.321
40;250210;-1.957.909;39.591.231
40;250220;-1.957.903;39.591.141
40;250230;-1.957.897;39.591.051
40;250240;-1.957.890;39.590.961
40;250250;-1.957.883;39.590.871
40;250260;-1.957.876;39.590.781
40;250270;-1.957.869;39.590.691
40;250280;-1.957.861;39.590.601
40;250290;-1.957.854;39.590.511
40;250300;-1.957.847;39.590.421
40;250310;-1.957.840;39.590.331
40;250320;-1.957.832;39.590.242
40;250330;-1.957.823;39.590.152
40;250340;-1.957.815;39.590.062
40;250350;-1.957.807;39.589.972
40;250360;-1.957.798;39.589.882
40;250370;-1.957.790;39.589.792
40;250380;-1.957.782;39.589.702
40;250390;-1.957.773;39.589.613
40;250400;-1.957.764;39.589.523
40;250410;-1.957.754;39.589.433
40;250420;-1.957.745;39.589.343
40;250430;-1.957.735;39.589.253
40;250440;-1.957.726;39.589.164
40;250450;-1.957.716;39.589.074
40;250460;-1.957.707;39.588.984
40;250470;-1.957.697;39.588.894
40;250480;-1.957.686;39.588.805
40;250490;-1.957.676;39.588.715
40;250500;-1.957.665;39.588.625
40;250510;-1.957.654;39.588.535
40;250520;-1.957.644;39.588.446
40;250530;-1.957.633;39.588.356
40;250540;-1.957.622;39.588.266
40;250550;-1.957.611;39.588.177
40;250560;-1.957.600;39.588.087
40;250570;-1.957.588;39.587.997
40;250580;-1.957.576;39.587.908
40;250590;-1.957.564;39.587.818
40;250600;-1.957.552;39.587.728
40;250610;-1.957.541;39.587.639
40;250620;-1.957.529;39.587.549
40;250630;-1.957.517;39.587.460
