Linea;PK;Longitud;Latitud
40;173198;-2.378235;40.049072
40;173199;-2.378223;40.049070
40;173200;-2.378212;40.049068
40;173201;-2.378200;40.049066
40;173202;-2.378189;40.049064
40;173203;-2.378177;40.049062
40;173204;-2.378166;40.049060
40;173205;-2.378154;40.049058
40;173206;-2.378143;40.049056
40;173207;-2.378132;40.049054
40;173208;-2.378120;40.049052
40;173209;-2.378109;40.049050
40;173210;-2.378097;40.049048
40;173211;-2.378086;40.049046
40;173212;-2.378074;40.049044
40;173213;-2.378063;40.049042
40;173214;-2.378051;40.049041
40;173215;-2.378040;40.049039
40;173216;-2.378029;40.049037
40;173217;-2.378017;40.049035
40;173218;-2.378006;40.049033
40;173219;-2.377994;40.049031
40;173220;-2.377983;40.049029
40;173221;-2.377971;40.049027
40;173222;-2.377960;40.049024
40;173223;-2.377949;40.049022
40;173224;-2.377937;40.049020
40;173225;-2.377926;40.049018
40;173226;-2.377914;40.049016
40;173227;-2.377903;40.049014
40;173228;-2.377891;40.049012
40;173229;-2.377880;40.049010
40;173230;-2.377869;40.049008
40;173231;-2.377857;40.049006
40;173232;-2.377846;40.049004
40;173233;-2.377834;40.049002
40;173234;-2.377823;40.049000
40;173235;-2.377811;40.048998
40;173236;-2.377800;40.048996
40;173237;-2.377789;40.048994
40;173238;-2.377777;40.048992
40;173239;-2.377766;40.048990
40;173240;-2.377754;40.048988
40;173241;-2.377743;40.048986
40;173242;-2.377731;40.048984
40;173243;-2.377720;40.048982
40;173244;-2.377709;40.048980
40;173245;-2.377697;40.048978
40;173246;-2.377686;40.048976
40;173247;-2.377674;40.048974
40;173248;-2.377663;40.048972
40;173249;-2.377651;40.048970
40;173250;-2.377640;40.048968
40;173251;-2.377629;40.048966
40;173252;-2.377617;40.048964
40;173253;-2.377606;40.048962
40;173254;-2.377594;40.048960
40;173255;-2.377583;40.048958
40;173256;-2.377572;40.048956
40;173257;-2.377560;40.048954
40;173258;-2.377549;40.048952
40;173259;-2.377537;40.048950
40;173260;-2.377526;40.048948
40;173261;-2.377514;40.048946
40;173262;-2.377503;40.048944
40;173263;-2.377492;40.048942
40;173264;-2.377480;40.048940
40;173265;-2.377469;40.048938
40;173266;-2.377457;40.048936
40;173267;-2.377446;40.048934
40;173268;-2.377434;40.048931
40;173269;-2.377423;40.048929
40;173270;-2.377412;40.048927
40;173271;-2.377400;40.048925
40;173272;-2.377389;40.048923
40;173273;-2.377377;40.048921
40;173274;-2.377366;40.048919
40;173275;-2.377355;40.048917
40;173276;-2.377343;40.048915
40;173277;-2.377332;40.048913
40;173278;-2.377320;40.048911
40;173279;-2.377309;40.048909
40;173280;-2.377298;40.048906
40;173281;-2.377286;40.048904
40;173282;-2.377275;40.048902
40;173283;-2.377263;40.048900
40;173284;-2.377252;40.048898
40;173285;-2.377241;40.048896
40;173286;-2.377229;40.048894
40;173287;-2.377218;40.048892
40;173288;-2.377206;40.048890
40;173289;-2.377195;40.048888
40;173290;-2.377184;40.048886
40;173291;-2.377172;40.048883
40;173292;-2.377161;40.048881
40;173293;-2.377149;40.048879
40;173294;-2.377138;40.048877
40;173295;-2.377127;40.048875
40;173296;-2.377115;40.048873
40;173297;-2.377104;40.048871
40;173298;-2.377092;40.048869
40;173299;-2.377081;40.048867
40;173300;-2.377070;40.048865
40;173301;-2.377058;40.048863
40;173302;-2.377047;40.048860
40;173303;-2.377035;40.048858
40;173304;-2.377024;40.048856
40;173305;-2.377013;40.048854
40;173306;-2.377001;40.048852
40;173307;-2.376990;40.048850
40;173308;-2.376978;40.048848
40;173309;-2.376967;40.048846
40;173310;-2.376955;40.048844
40;173311;-2.376944;40.048842
40;173312;-2.376933;40.048840
40;173313;-2.376921;40.048837
40;173314;-2.376910;40.048835
40;173315;-2.376898;40.048833
40;173316;-2.376887;40.048831
40;173317;-2.376876;40.048829
40;173318;-2.376864;40.048827
40;173319;-2.376853;40.048825
40;173320;-2.376841;40.048823
40;173321;-2.376830;40.048821
40;173322;-2.376819;40.048818
40;173323;-2.376807;40.048816
40;173324;-2.376796;40.048814
40;173325;-2.376785;40.048812
40;173326;-2.376773;40.048810
40;173327;-2.376762;40.048808
40;173328;-2.376750;40.048805
40;173329;-2.376739;40.048803
40;173330;-2.376728;40.048801
40;173331;-2.376716;40.048799
40;173332;-2.376705;40.048797
40;173333;-2.376694;40.048795
40;173334;-2.376682;40.048793
40;173335;-2.376671;40.048790
40;173336;-2.376659;40.048788
40;173337;-2.376648;40.048786
40;173338;-2.376637;40.048784
40;173339;-2.376625;40.048782
40;173340;-2.376614;40.048780
40;173341;-2.376602;40.048777
40;173342;-2.376591;40.048775
40;173343;-2.376580;40.048773
40;173344;-2.376568;40.048771
40;173345;-2.376557;40.048769
40;173346;-2.376546;40.048767
40;173347;-2.376534;40.048764
40;173348;-2.376523;40.048762
40;173349;-2.376511;40.048760
40;173350;-2.376500;40.048758
40;173351;-2.376489;40.048756
40;173352;-2.376477;40.048754
40;173353;-2.376466;40.048752
40;173354;-2.376455;40.048749
40;173355;-2.376443;40.048747
40;173356;-2.376432;40.048745
40;173357;-2.376420;40.048743
40;173358;-2.376409;40.048741
40;173359;-2.376398;40.048739
40;173360;-2.376386;40.048736
40;173361;-2.376375;40.048734
40;173362;-2.376363;40.048732
40;173363;-2.376352;40.048730
40;173364;-2.376341;40.048728
40;173365;-2.376329;40.048726
40;173366;-2.376318;40.048723
40;173367;-2.376307;40.048721
40;173368;-2.376295;40.048719
40;173369;-2.376284;40.048717
40;173370;-2.376272;40.048715
40;173371;-2.376261;40.048713
40;173372;-2.376250;40.048710
40;173373;-2.376238;40.048708
40;173374;-2.376227;40.048706
40;173375;-2.376216;40.048704
40;173376;-2.376204;40.048701
40;173377;-2.376193;40.048699
40;173378;-2.376182;40.048697
40;173379;-2.376170;40.048695
40;173380;-2.376159;40.048693
40;173381;-2.376147;40.048690
40;173382;-2.376136;40.048688
40;173383;-2.376125;40.048686
40;173384;-2.376113;40.048684
40;173385;-2.376102;40.048681
40;173386;-2.376091;40.048679
40;173387;-2.376079;40.048677
40;173388;-2.376068;40.048675
40;173389;-2.376057;40.048672
40;173390;-2.376045;40.048670
40;173391;-2.376034;40.048668
40;173392;-2.376023;40.048666
40;173393;-2.376011;40.048664
40;173394;-2.376000;40.048661
40;173395;-2.375988;40.048659
40;173396;-2.375977;40.048657
40;173397;-2.375966;40.048655
40;173398;-2.375954;40.048652
40;173399;-2.375943;40.048650
40;173400;-2.375932;40.048648
40;173401;-2.375920;40.048646
40;173402;-2.375909;40.048644
40;173403;-2.375898;40.048641
40;173404;-2.375886;40.048639
40;173405;-2.375875;40.048637
40;173406;-2.375863;40.048635
40;173407;-2.375852;40.048632
40;173408;-2.375841;40.048630
40;173409;-2.375829;40.048628
40;173410;-2.375818;40.048626
40;173411;-2.375807;40.048623
40;173412;-2.375795;40.048621
40;173413;-2.375784;40.048619
40;173414;-2.375773;40.048617
40;173415;-2.375761;40.048615
40;173416;-2.375750;40.048612
40;173417;-2.375739;40.048610
40;173418;-2.375727;40.048608
40;173419;-2.375716;40.048606
40;173420;-2.375704;40.048603
40;173421;-2.375693;40.048601
40;173422;-2.375682;40.048599
40;173423;-2.375670;40.048597
40;173424;-2.375659;40.048594
40;173425;-2.375648;40.048592
40;173426;-2.375636;40.048590
40;173427;-2.375625;40.048587
40;173428;-2.375614;40.048585
40;173429;-2.375602;40.048583
40;173430;-2.375591;40.048581
40;173431;-2.375580;40.048578
40;173432;-2.375568;40.048576
40;173433;-2.375557;40.048574
40;173434;-2.375546;40.048571
40;173435;-2.375534;40.048569
40;173436;-2.375523;40.048567
40;173437;-2.375512;40.048564
40;173438;-2.375500;40.048562
40;173439;-2.375489;40.048560
40;173440;-2.375478;40.048558
40;173441;-2.375466;40.048555
40;173442;-2.375455;40.048553
40;173443;-2.375444;40.048551
40;173444;-2.375432;40.048548
40;173445;-2.375421;40.048546
40;173446;-2.375410;40.048544
40;173447;-2.375398;40.048541
40;173448;-2.375387;40.048539
40;173449;-2.375376;40.048537
40;173450;-2.375364;40.048535
40;173451;-2.375353;40.048532
40;173452;-2.375342;40.048530
40;173453;-2.375330;40.048528
40;173454;-2.375319;40.048525
40;173455;-2.375308;40.048523
40;173456;-2.375296;40.048521
40;173457;-2.375285;40.048519
40;173458;-2.375274;40.048516
40;173459;-2.375262;40.048514
40;173460;-2.375251;40.048512
40;173461;-2.375240;40.048509
40;173462;-2.375228;40.048507
40;173463;-2.375217;40.048505
40;173464;-2.375206;40.048502
40;173465;-2.375194;40.048500
40;173466;-2.375183;40.048498
40;173467;-2.375172;40.048496
40;173468;-2.375160;40.048493
40;173469;-2.375149;40.048491
40;173470;-2.375138;40.048489
40;173471;-2.375126;40.048486
40;173472;-2.375115;40.048484
40;173473;-2.375104;40.048482
40;173474;-2.375092;40.048479
40;173475;-2.375081;40.048477
40;173476;-2.375070;40.048475
40;173477;-2.375058;40.048472
40;173478;-2.375047;40.048470
40;173479;-2.375036;40.048468
40;173480;-2.375024;40.048465
40;173481;-2.375013;40.048463
40;173482;-2.375002;40.048460
40;173483;-2.374991;40.048458
40;173484;-2.374979;40.048456
40;173485;-2.374968;40.048453
40;173486;-2.374957;40.048451
40;173487;-2.374945;40.048449
40;173488;-2.374934;40.048446
40;173489;-2.374923;40.048444
40;173490;-2.374911;40.048442
40;173491;-2.374900;40.048439
40;173492;-2.374889;40.048437
40;173493;-2.374877;40.048434
40;173494;-2.374866;40.048432
40;173495;-2.374855;40.048430
40;173496;-2.374843;40.048427
40;173497;-2.374832;40.048425
40;173498;-2.374821;40.048423
40;173499;-2.374810;40.048420
40;173500;-2.374798;40.048418
40;173501;-2.374787;40.048416
40;173502;-2.374776;40.048413
40;173503;-2.374764;40.048411
40;173504;-2.374753;40.048408
40;173505;-2.374742;40.048406
40;173506;-2.374730;40.048404
40;173507;-2.374719;40.048401
40;173508;-2.374708;40.048399
40;173509;-2.374696;40.048397
40;173510;-2.374685;40.048394
40;173511;-2.374674;40.048392
40;173512;-2.374662;40.048390
40;173513;-2.374651;40.048387
40;173514;-2.374640;40.048385
40;173515;-2.374629;40.048382
40;173516;-2.374617;40.048380
40;173517;-2.374606;40.048378
40;173518;-2.374595;40.048375
40;173519;-2.374583;40.048373
40;173520;-2.374572;40.048371
