Linea;PK;Longitud;Latitud
42;247010;-1.956.622;39.620.023
42;247020;-1.956.638;39.619.934
42;247030;-1.956.654;39.619.845
42;247040;-1.956.669;39.619.755
42;247050;-1.956.684;39.619.666
42;247060;-1.956.700;39.619.577
42;247070;-1.956.715;39.619.487
42;247080;-1.956.731;39.619.398
42;247090;-1.956.746;39.619.309
42;247100;-1.956.761;39.619.219
42;247110;-1.956.775;39.619.130
42;247120;-1.956.789;39.619.041
42;247130;-1.956.804;39.618.951
42;247140;-1.956.818;39.618.862
42;247150;-1.956.832;39.618.772
42;247160;-1.956.846;39.618.683
42;247170;-1.956.860;39.618.593
42;247180;-1.956.873;39.618.504
42;247190;-1.956.886;39.618.414
42;247200;-1.956.899;39.618.325
42;247210;-1.956.912;39.618.235
42;247220;-1.956.926;39.618.146
42;247230;-1.956.939;39.618.056
42;247240;-1.956.952;39.617.967
42;247250;-1.956.964;39.617.877
42;247260;-1.956.976;39.617.787
42;247270;-1.956.988;39.617.698
42;247280;-1.956.999;39.617.608
42;247290;-1.957.011;39.617.519
42;247300;-1.957.023;39.617.429
42;247310;-1.957.035;39.617.339
42;247320;-1.957.047;39.617.250
42;247330;-1.957.057;39.617.160
42;247340;-1.957.068;39.617.070
42;247350;-1.957.079;39.616.981
42;247360;-1.957.089;39.616.891
42;247370;-1.957.100;39.616.801
42;247380;-1.957.110;39.616.711
42;247390;-1.957.121;39.616.622
42;247400;-1.957.131;39.616.532
42;247410;-1.957.141;39.616.442
42;247420;-1.957.150;39.616.352
42;247430;-1.957.159;39.616.263
42;247440;-1.957.169;39.616.173
42;247450;-1.957.178;39.616.083
42;247460;-1.957.187;39.615.993
42;247470;-1.957.197;39.615.903
42;247480;-1.957.205;39.615.813
42;247490;-1.957.213;39.615.724
42;247500;-1.957.222;39.615.634
42;247510;-1.957.230;39.615.544
42;247520;-1.957.238;39.615.454
42;247530;-1.957.246;39.615.364
42;247540;-1.957.254;39.615.274
42;247550;-1.957.262;39.615.184
42;247560;-1.957.270;39.615.094
42;247570;-1.957.277;39.615.004
42;247580;-1.957.284;39.614.915
42;247590;-1.957.291;39.614.825
42;247600;-1.957.297;39.614.735
42;247610;-1.957.304;39.614.645
42;247620;-1.957.310;39.614.555
42;247630;-1.957.317;39.614.465
42;247640;-1.957.323;39.614.375
42;247650;-1.957.330;39.614.285
42;247660;-1.957.335;39.614.195
42;247670;-1.957.341;39.614.105
42;247680;-1.957.346;39.614.015
42;247690;-1.957.352;39.613.925
42;247700;-1.957.357;39.613.835
42;247710;-1.957.363;39.613.745
42;247720;-1.957.368;39.613.655
42;247730;-1.957.374;39.613.565
42;247740;-1.957.379;39.613.475
42;247750;-1.957.383;39.613.385
42;247760;-1.957.388;39.613.295
42;247770;-1.957.393;39.613.205
42;247780;-1.957.397;39.613.115
42;247790;-1.957.402;39.613.025
42;247800;-1.957.406;39.612.935
42;247810;-1.957.411;39.612.845
42;247820;-1.957.415;39.612.755
42;247830;-1.957.420;39.612.665
42;247840;-1.957.424;39.612.575
42;247850;-1.957.428;39.612.485
42;247860;-1.957.431;39.612.395
42;247870;-1.957.435;39.612.305
42;247880;-1.957.439;39.612.214
42;247890;-1.957.443;39.612.124
42;247900;-1.957.447;39.612.034
42;247910;-1.957.451;39.611.944
42;247920;-1.957.454;39.611.854
42;247930;-1.957.458;39.611.764
42;247940;-1.957.462;39.611.674
42;247950;-1.957.466;39.611.584
42;247960;-1.957.469;39.611.494
42;247970;-1.957.473;39.611.404
42;247980;-1.957.476;39.611.314
42;247990;-1.957.479;39.611.224
42;248000;-1.957.483;39.611.134
42;248010;-1.957.486;39.611.044
42;248020;-1.957.490;39.610.954
42;248030;-1.957.493;39.610.864
42;248040;-1.957.497;39.610.774
42;248050;-1.957.500;39.610.684
42;248060;-1.957.504;39.610.594
42;248070;-1.957.507;39.610.503
42;248080;-1.957.511;39.610.413
42;248090;-1.957.514;39.610.323
42;248100;-1.957.517;39.610.233
42;248110;-1.957.525;39.610.143
42;248120;-1.957.533;39.610.053
42;248130;-1.957.541;39.609.964
42;248140;-1.957.548;39.609.874
42;248150;-1.957.556;39.609.784
42;248160;-1.957.564;39.609.694
42;248170;-1.957.571;39.609.604
42;248180;-1.957.575;39.609.514
42;248190;-1.957.580;39.609.424
42;248200;-1.957.585;39.609.334
42;248210;-1.957.589;39.609.244
42;248220;-1.957.594;39.609.154
42;248230;-1.957.599;39.609.064
42;248240;-1.957.604;39.608.974
42;248250;-1.957.610;39.608.884
42;248260;-1.957.615;39.608.794
42;248270;-1.957.621;39.608.704
42;248280;-1.957.626;39.608.614
42;248290;-1.957.632;39.608.524
42;248300;-1.957.638;39.608.434
42;248310;-1.957.643;39.608.344
42;248320;-1.957.649;39.608.254
42;248330;-1.957.655;39.608.164
42;248340;-1.957.660;39.608.074
42;248350;-1.957.666;39.607.984
42;248360;-1.957.672;39.607.894
42;248370;-1.957.678;39.607.804
42;248380;-1.957.683;39.607.714
42;248390;-1.957.689;39.607.624
42;248400;-1.957.694;39.607.534
42;248410;-1.957.700;39.607.444
42;248420;-1.957.705;39.607.354
42;248430;-1.957.710;39.607.264
42;248440;-1.957.715;39.607.174
42;248450;-1.957.721;39.607.084
42;248460;-1.957.725;39.606.993
42;248470;-1.957.729;39.606.903
42;248480;-1.957.734;39.606.813
42;248490;-1.957.738;39.606.723
42;248500;-1.957.743;39.606.633
42;248510;-1.957.747;39.606.543
42;248520;-1.957.751;39.606.453
42;248530;-1.957.756;39.606.363
42;248540;-1.957.759;39.606.273
42;248550;-1.957.763;39.606.183
42;248560;-1.957.767;39.606.093
42;248570;-1.957.770;39.606.003
42;248580;-1.957.774;39.605.913
42;248590;-1.957.777;39.605.823
42;248600;-1.957.781;39.605.733
42;248610;-1.957.784;39.605.643
42;248620;-1.957.788;39.605.553
42;248630;-1.957.791;39.605.462
42;248640;-1.957.795;39.605.372
42;248650;-1.957.798;39.605.282
42;248660;-1.957.801;39.605.192
42;248670;-1.957.805;39.605.102
42;248680;-1.957.808;39.605.012
42;248690;-1.957.812;39.604.922
42;248700;-1.957.815;39.604.832
42;248710;-1.957.819;39.604.742
42;248720;-1.957.822;39.604.652
42;248730;-1.957.825;39.604.562
42;248740;-1.957.829;39.604.472
42;248750;-1.957.832;39.604.382
42;248760;-1.957.836;39.604.292
42;248770;-1.957.839;39.604.201
42;248780;-1.957.842;39.604.111
42;248790;-1.957.846;39.604.021
42;248800;-1.957.849;39.603.931
42;248810;-1.957.853;39.603.841
42;248820;-1.957.856;39.603.751
42;248830;-1.957.860;39.603.661
42;248840;-1.957.863;39.603.571
42;248850;-1.957.866;39.603.481
42;248860;-1.957.870;39.603.391
42;248870;-1.957.873;39.603.301
42;248880;-1.957.877;39.603.211
42;248890;-1.957.880;39.603.121
42;248900;-1.957.884;39.603.031
42;248910;-1.957.887;39.602.941
42;248920;-1.957.890;39.602.850
42;248930;-1.957.894;39.602.760
42;248940;-1.957.898;39.602.670
42;248950;-1.957.901;39.602.580
42;248960;-1.957.905;39.602.490
42;248970;-1.957.908;39.602.400
42;248980;-1.957.912;39.602.310
42;248990;-1.957.915;39.602.220
42;249000;-1.957.919;39.602.130
42;249010;-1.957.923;39.602.040
42;249020;-1.957.927;39.601.950
42;249030;-1.957.932;39.601.860
42;249040;-1.957.937;39.601.770
42;249050;-1.957.941;39.601.680
42;249060;-1.957.946;39.601.590
42;249070;-1.957.951;39.601.500
42;249080;-1.957.955;39.601.410
42;249090;-1.957.960;39.601.320
42;249100;-1.957.965;39.601.229
42;249110;-1.957.970;39.601.139
42;249120;-1.957.976;39.601.049
42;249130;-1.957.982;39.600.959
42;249140;-1.957.987;39.600.869
42;249150;-1.957.993;39.600.779
42;249160;-1.957.999;39.600.689
42;249170;-1.958.005;39.600.599
42;249180;-1.958.010;39.600.509
42;249190;-1.958.017;39.600.420
42;249200;-1.958.023;39.600.330
42;249210;-1.958.030;39.600.240
42;249220;-1.958.037;39.600.150
42;249230;-1.958.044;39.600.060
42;249240;-1.958.051;39.599.970
42;249250;-1.958.058;39.599.880
42;249260;-1.958.064;39.599.790
42;249270;-1.958.071;39.599.700
42;249280;-1.958.079;39.599.610
42;249290;-1.958.087;39.599.520
42;249300;-1.958.095;39.599.430
